date,total_triggers,labeled_triggers,fp_count,fp_rate,fp_ci_low,fp_ci_high,fn_rate,fn_ci_low,fn_ci_high,error_count,n_human,fp_human_count,fp_human_rate,n_claude,fp_claude_count,fp_claude_rate,n_md,fp_md_count,fp_md_rate
2026-06-08,84,84,67,0.7976190476190477,0.6995818724114075,0.8696254321036759,unmeasured,,,,,,,,,,,,
2026-06-09,185,185,114,0.6162162162162163,0.5444518072082913,0.6832524282309653,unmeasured,,,0,,,,,,,,,
2026-06-10,87,87,76,0.8735632183908046,0.7876218511925265,0.9279104712055445,unmeasured,,,0,,,,,,,,,
2026-06-11,109,109,90,0.8256880733944955,0.7437300767903885,0.8854712889312255,unmeasured,,,0,,,,,,,,,
2026-06-15,19,19,17,0.8947368421052632,0.6860591728889099,0.9706414397011299,unmeasured,,,0,,,,,,,,,
2026-06-16,42,42,32,0.7619047619047619,0.6147245613168169,0.8651903577535287,unmeasured,,,0,,,,,,,,,
2026-06-17,9,9,5,0.5555555555555556,0.26665129349549305,0.8112214789023355,unmeasured,,,0,,,,,,,,,
2026-06-18,37,37,30,0.8108108108108109,0.6579530307016159,0.9052002126968799,unmeasured,,,0,,,,,,,,,
2026-06-19,74,74,24,0.32432432432432434,0.22864074907764337,0.4373470112508166,unmeasured,,,0,,,,,,,,,
2026-06-20,51,51,40,0.7843137254901961,0.6537364041400255,0.8750606159176724,unmeasured,,,0,,,,,,,,,
2026-06-21,77,77,74,0.961038961038961,0.8916001812736711,0.986662049959409,unmeasured,,,0,,,,,,,,,
2026-06-22,62,62,38,0.6129032258064516,0.48847843539018354,0.7241535483288614,unmeasured,,,0,,,,,,,,,
2026-06-23,42,42,19,0.4523809523809524,0.31223393233454466,0.6005088096526652,unmeasured,,,0,,,,,,,,,
2026-06-24,14,14,12,0.8571428571428571,0.6005862050302965,0.9599060787285351,unmeasured,,,0,,,,,,,,,
2026-06-25,8,8,5,0.625,0.30574239460262737,0.8631557141764026,unmeasured,,,0,,,,,,,,,
2026-06-26,42,42,40,0.9523809523809523,0.8421014760304114,0.9868424750910944,unmeasured,,,0,,,,,,,,,
2026-06-28,51,51,45,0.8823529411764706,0.7661915568567753,0.9449492632208182,unmeasured,,,0,0,0,0.0,0,0,0.0,51,45,0.8823529411764706
2026-06-29,51,51,47,0.9215686274509803,0.8150005368740411,0.9690778032115107,unmeasured,,,0,0,0,0.0,0,0,0.0,51,47,0.9215686274509803
2026-06-30,25,25,22,0.88,0.7004420607907267,0.9583318284955964,unmeasured,,,0,6,5,0.8333333333333334,0,0,0.0,19,17,0.8947368421052632
2026-07-01,68,68,65,0.9558823529411765,0.8781280481750362,0.9848833802919585,unmeasured,,,0,10,8,0.8,1,0,0.0,57,57,1.0
2026-07-02,57,57,55,0.9649122807017544,0.8807921863237419,0.9903243356550672,unmeasured,,,0,3,3,1.0,0,0,0.0,54,52,0.9629629629629629
2026-07-03,96,96,94,0.9791666666666666,0.9271928648221579,0.9942680301475697,unmeasured,,,0,0,0,0.0,0,0,0.0,96,94,0.9791666666666666
2026-07-04,76,76,71,0.9342105263157895,0.8550647346629656,0.9715734677804679,unmeasured,,,0,0,0,0.0,0,0,0.0,76,71,0.9342105263157895
2026-07-05,55,55,53,0.9636363636363636,0.8767653602534898,0.9899704587106665,unmeasured,,,0,13,12,0.9230769230769231,0,0,0.0,42,41,0.9761904761904762
2026-07-06,71,71,66,0.9295774647887324,0.8455098688621009,0.969546397560289,unmeasured,,,0,1,1,1.0,0,0,0.0,70,65,0.9285714285714286
2026-07-07,116,116,111,0.9568965517241379,0.9030514828405729,0.9814504336338952,unmeasured,,,0,0,0,0.0,0,0,0.0,116,111,0.9568965517241379
2026-07-09,80,75,42,0.56,0.4474677138145549,0.6666854250875085,unmeasured,,,0,53,20,0.37735849056603776,0,0,0.0,22,22,1.0
2026-07-10,62,42,27,0.6428571428571429,0.4916636571945582,0.7701081168438123,unmeasured,,,0,25,11,0.44,0,0,0.0,17,16,0.9411764705882353
2026-07-11,25,25,17,0.68,0.48410269273102247,0.8279480969309202,unmeasured,,,0,7,1,0.14285714285714285,0,0,0.0,18,16,0.8888888888888888
2026-07-12,53,30,20,0.6666666666666666,0.4878005164454384,0.8076950191632386,unmeasured,,,0,0,0,0.0,0,0,0.0,30,20,0.6666666666666666
2026-07-13,64,42,35,0.8333333333333334,0.6939599725535115,0.9168408335360192,unmeasured,,,0,1,0,0.0,0,0,0.0,41,35,0.8536585365853658
2026-07-14,64,37,29,0.7837837837837838,0.6280485160803084,0.8861348800661442,unmeasured,,,0,6,1,0.16666666666666666,0,0,0.0,31,28,0.9032258064516129
2026-07-15,69,35,31,0.8857142857142857,0.7404853135378618,0.9546482066690264,unmeasured,,,0,4,0,0.0,0,0,0.0,31,31,1.0
2026-07-16,86,53,45,0.8490566037735849,0.7294575072380466,0.9214758214915374,unmeasured,,,0,1,0,0.0,3,3,1.0,49,42,0.8571428571428571
2026-07-17,79,28,10,0.35714285714285715,0.2070582950773768,0.5416969348557219,unmeasured,,,0,28,10,0.35714285714285715,0,0,0.0,0,0,0.0
